1016,331,A.A.V.V.,Brodo caldo per l'anima 4,Rosa,Rosa
1017,332,A.A.V.V.,Racconti erotici dell'Ottocento,Rosa,Rosa
1018,333,Wiggs Susan,L'ultimo sole d'estate,Rosa,Rosa
1019,334,Wood Barbara,Il tempo dei sogni,Rosa,Rosa
1020,335,Woodiwiss Kathleen,Cuori in tempesta,Rosa,Rosa
1021,336,Woodiwiss Kathleen,Fiori sulla neve,Rosa,Rosa
1022,337,Wickham Madeleine,La signora dei funerali,Rosa,Rosa commedia
1023,338,Venturi Maria,La donna per legare il sole,Rosa,Rosa
1024,339,Weisberger Lauren,Il diavolo veste Prada,Rosa,Rosa commedia
1025,340,Van Slyke Hellen,Il cuore ascolta,Rosa,Rosa
1026,341,Zweig Stefan,Maria Antonietta,Rosa,Rosa
1027,342,Zecchi Stefano,Estasi,Rosa,Rosa
1028,343,Wescott Glenway,Il falco pellegrino,Rosa,Rosa
1029,344,Waller Robert James,La strada dei ricordi,Rosa,Rosa
1030,345,Wallis Velma,Due ribelli,Rosa,Rosa
1031,346,Waller Robert James,I ponti di Madison County,Rosa,Rosa
1032,347,Waller Robert James,Valzer lento a Cedar Bend,Rosa,Rosa
1033,348,Wallace Irving,L'angelo del piacere,Rosa,Rosa
1034,349,Venturi Maria,La bambina perduta,Rosa,Rosa
